id_producto,nombre,ingrediente,categoria,subcategoria,estructura,tipo,promocion,tag,descripcion,img_normal,img_wide,img_promo,primer_complejo_visto
22231,Mordisko® Oreo®,,Helados,,simple,sellable,normal,,Sándwich de helado Mordisko® sabor Oreo®.,https://cinepolis.com/redesign/MX/menus/tradicional/mordisko_oreo_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/modrisko_oreo_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/mordisko_oreo_promotional.png,cinepolis-acaya-coatzacoalcos
28359,Maxicombo Personalizado P/Llevar,,Para Compartir,,combo,sellable,normal,,Maxicombo personalizado p/llevar,https://cinepolis.com/redesign/MX/menus/tradicional/generic.png,https://cinepolis.com/redesign/MX/menus/tradicional/arma-tu-combo-para-llevar-wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/arma-tu-combo-para-llevar-promotional.png,cinepolis-acaya-coatzacoalcos
14511,Combo Ciel®,,Combos,,combo,sellable,normal,,1 palomitas para llevar (285 gr) y 2 aguas Ciel® de 1 L.,https://cinepolis.com/redesign/MX/menus/tradicional/combo_ciel_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/combo_ciel_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/combo_ciel_promotional.jpg,cinepolis-acaya-coatzacoalcos
25485,Aritos Enchilados Cinépolis,,Dulces y Chocolates,,simple,sellable,normal,Nuevo,"Deliciosas gomitas en forma de aritos sabor durazno, manzana y sandía enchiladas, 150 g.",https://cinepolis.com/redesign/MX/menus/tradicional/aritos_enchilados_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/aritos_enchilados_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/aritos_enchilados_promotional.png,cinepolis-acaya-coatzacoalcos
28247,Vaso Promocional 2D Goat Con Bebida,,Promocionales,,compound,sellable,normal,,Vaso promocional 2d goat con bebida,https://cinepolis.com/redesign/MX/menus/tradicional/generic.png,https://cinepolis.com/redesign/MX/menus/tradicional/Goat_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/Goat_promo.png,cinepolis-acaya-coatzacoalcos
17340,Lifesavers®,,Dulces y Chocolates,,simple,sellable,normal,,"Gomitas sabor moras salvajes, 198 g.",https://cinepolis.com/redesign/MX/menus/tradicional/lifesavers_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/lifesavers_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/lifesavers_promotional.png,cinepolis-acaya-coatzacoalcos
27419,Hot Dog Takis,Hot Dog,Snacks,,compound,sellable,normal,Nuevo,"La combinación perfecta! Hot dog con salchicha Óscar Mayer, cubierto con queso cheddar y Takis Fuego troceados.",https://cinepolis.com/redesign/MX/menus/tradicional/hot_dog_takis_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/hot_dog_takis_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/hot_dog_takis_promotional.png,cinepolis-acaya-coatzacoalcos
6241,Skittles®,,Dulces y Chocolates,,simple,sellable,normal,,"Dulces suaves confitados de diferentes sabores frutales como: fresa, limón, uva, naranja y manzana verde, 54.4 g.",https://cinepolis.com/redesign/MX/menus/tradicional/skittles_chicos_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/skittles_chicos_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/skittles_chicos_promotional.png,cinepolis-acaya-coatzacoalcos
19654,Milky Way®,,Dulces y Chocolates,,simple,sellable,normal,,"Disfruta de un chocolate relleno de caramelo y nougat, 48 g.",https://cinepolis.com/redesign/MX/menus/tradicional/milkyway_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/milkyway_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/milkyway_promotional.png,cinepolis-acaya-coatzacoalcos
14394,Combo Cornetto®,,Combos,,combo,sellable,normal,,"1 palomitas para llevar (285 gr), 1 refresco jumbo (1.2 ltr) y 1 helado Cornetto®.",https://cinepolis.com/redesign/MX/menus/tradicional/combo_cornetto_small.png,https://cinepolis.com/redesign/MX/menus/tradicional/combo_cornetto_wide.png,https://cinepolis.com/redesign/MX/menus/tradicional/combo_cornetto_promotional.png,cinepolis-acaya-coatzacoalcos
