id_producto,nombre,ingrediente,categoria,subcategoria,estructura,tipo,descripcion,order,category_order,cat_sub_order,product_order,sub_category_order,img_normal,img_wide,img_promo,img_icon
28070,Vaso Promocional Wicked 3D,Vaso,Promocionales,,combo,sellable,Vaso Promocional Wicked 3D.,,91,9A#D,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/small_Wicked.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/wicked_vaso_ wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/wicked_vaso_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/ingredients/refresco_jumbo_icon.png
18446,Palomitas,Jumbo,Clásicos,,combo,sellable,Deliciosas palomitas recién hechas en canasta.,,5,5#1,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/palomitas_jumbo_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/palomitas_jumbo_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/palomitas_jumbo_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/palomitas_jumbo.png
28356,Combo Personalizado,,Combos,,combo,sellable,"Contiene 1 Palomitas Jumbo, 2 Refrescos Jumbo, +1 Producto a elegir",,2,2#0,,0,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/generic.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/ComboPersonalizadollevar-wide.jpg,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/ComboPersonalizadollevar-promotional.jpg,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/generic.png
14179,Combo Cuates,,Combos,,combo,sellable,1 palomitas para llevar (285 gr) y 2 refrescos jumbo (1.2 ltr).,,2,"2#9
",,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_cuates_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_cuates_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_cuates_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_cuates_small.png
14089,Refresco,Jumbo,Clásicos,,combo,sellable,Descubre la refrescante colección de sabores en nuestra sección de Refrescos. Desde clásicos irresistibles hasta opciones bajas en calorías y personalización a tu medida.,,5,5#0,,2,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/refrescos_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/refrescos_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/refrescos_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/ingredients/refresco_jumbo_icon.png
14212,Hot Dog Individual,Chico,Clásicos,,combo,sellable,"Delicioso Hot Dog Cinépolis, elaborado con salchicha Oscar Mayer®.",,5,5#3,,2,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/hot_dog_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/hot_dog_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/hot_dog_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/ingredients/HotDog-icon.png
25160,Maxicombo Familiar Para LLevar,,Para Compartir,,combo,sellable,"3 refrescos tamaño jumbo (1.2 L), 2 palomitas sabor mantequilla tamaño para llevar y 1 chocolates M&M’S® sabor cacahuate.",,3,3#1,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/maxi_combo_familiar_jm_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/MAXICOMBO FAMILIAR_LLEVAR_WIDE.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/MAXICOMBO FAMILIAR_LLEVAR_PROMO.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/maxi_combo_familiar_jm_small.png
28358,Maxicombo Personalizado Jumbo,,Para Compartir,,combo,sellable,"Contiene 2 Palomitas Jumbo, 3 Refrescos Jumbo, +1 Producto a elegir",,3,3#0,,0,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/generic.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/armatu-maxicombo-wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/armatu-maxicombo-promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/generic.png
25186,Skwinkles® Chunks,,Dulces y Chocolates,,simple,sellable,"Dulce enchilado en tiras sabor mango con relleno sabor tamarindo, 130 g.",,9,9#3,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_chunks_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_chunks_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_chunks_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_chunks_small.png
15972,Cornetto®.,Chocollage,Helados,,combo,sellable,"Cono de helado hecho con galleta, helado de chocolate y chocolate blanco, 120 ml.",,8,8#1,,3,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/cornetto_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/cornetto_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/cornetto_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/cornetto_small.png
13125,Skwinkles® Rellenos,,Dulces y Chocolates,,simple,sellable,"Dulce enchilado relleno sabor piña con tamarindo, 26 g.",,9,9#5,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_rellenos_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_rellenos_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/skwinkles_rellenos_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/ingredients/skwinkles_rellenos_icon.png
14244,Combo Nachos,,Combos,,combo,sellable,"1 palomitas para llevar (285 gr), 1 refresco jumbo (1.2 ltr), y 1 nachos clásicos chicos (120 gr).",,2,2#3,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_nachos_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_nachos_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_nachos_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_nachos_small.png
16896,Combo Snickers® con Hot Dog,,Combos,,combo,sellable,"1 palomitas para llevar (285 gr), 1 refresco jumbo (1.2 ltr), 1 hot dog y 1 Snickers®.",,2,2#7,,1,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_snickers_hotdog_small.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_snickers_hotdog_wide.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_snickers_hotdog_promotional.png,https://foods-static-content.cinepolis.com/redesign/MX/menus/tradicional/combo_snickers_hotdog_small.png
