complejo_slug,cinema_vista_id,session_id,datetime,numero_sala,formato,idioma,experiencia,movie_id
cinepolis-la-florida-acayucan,611,51419,2026-07-27T13:45:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51420,2026-07-27T16:10:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51421,2026-07-27T19:00:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51422,2026-07-27T21:15:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51439,2026-07-28T13:45:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51440,2026-07-28T16:10:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51441,2026-07-28T19:00:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51442,2026-07-28T21:15:00,2,2D,ESPAÑOL,Tradicional,hasta-el-fin-del-mundo
cinepolis-la-florida-acayucan,611,51415,2026-07-27T11:45:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51427,2026-07-27T13:15:00,4,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51416,2026-07-27T15:10:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51428,2026-07-27T17:20:00,4,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51417,2026-07-27T18:35:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51429,2026-07-27T20:45:00,4,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51418,2026-07-27T22:00:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51435,2026-07-28T11:45:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51447,2026-07-28T13:15:00,4,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51436,2026-07-28T15:10:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51448,2026-07-28T17:20:00,4,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51437,2026-07-28T18:35:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51449,2026-07-28T20:45:00,4,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51438,2026-07-28T22:00:00,1,2D,ESPAÑOL,Tradicional,la-odisea
cinepolis-la-florida-acayucan,611,51430,2026-07-27T12:15:00,5,2D,ESPAÑOL,Tradicional,minions-y-monstruos
cinepolis-la-florida-acayucan,611,51433,2026-07-27T19:30:00,5,2D,ESPAÑOL,Tradicional,minions-y-monstruos
cinepolis-la-florida-acayucan,611,51450,2026-07-28T12:15:00,5,2D,ESPAÑOL,Tradicional,minions-y-monstruos
cinepolis-la-florida-acayucan,611,51453,2026-07-28T19:30:00,5,2D,ESPAÑOL,Tradicional,minions-y-monstruos
cinepolis-la-florida-acayucan,611,51431,2026-07-27T14:20:00,5,3D,ESPAÑOL,Tradicional,moana-live-action
cinepolis-la-florida-acayucan,611,51432,2026-07-27T16:50:00,5,2D,ESPAÑOL,Tradicional,moana-live-action
