movie_id,nombre,clasificacion,genero,duracion_min,categoria,vista_id,poster_url,banner_url,trailer_url
la-odisea,La Odisea,B,"ACCIÓN, ÉPICA",172 min,Cartelera,HO00032360,https://tickets-static-content.cinepolis.com/pimcore/18924/assets/Mexico/Tickets/Movies/LaOdisea/Es/9_P_ster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18924/assets/Mexico/Tickets/Movies/LaOdisea/Es/5_Header_movie_details_1440x900px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18924/assets/Mexico/Tickets/Movies/LaOdisea/Es/6a0df392ebc25laodisea/resource.mp4
toy-story-5,Toy Story 5,AA,"ANIMACIÓN, AVENTURA, FAMILIAR",102 min,Cartelera,HO00032206,https://tickets-static-content.cinepolis.com/pimcore/18877/assets/Mexico/Tickets/Movies/ToyStory5/Es/19_Poster_720x1022px__5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18877/assets/Mexico/Tickets/Movies/ToyStory5/Es/14_Header_Movie_details_1440x900px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18877/assets/Mexico/Tickets/Movies/ToyStory5/Es/6a0cc6a4610caTOYSTORY5_W8_1366x770/resource.mp4
minions-y-monstruos,Minions & Monstruos,A,"COMEDIA, ANIMACIÓN",90 min,Cartelera,HO00032389,https://tickets-static-content.cinepolis.com/pimcore/19133/assets/Mexico/Tickets/Movies/MiniosYMonstruos/Es/9_P_ster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19133/assets/Mexico/Tickets/Movies/MiniosYMonstruos/Es/4_Header_movie_details_1440x900px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19133/assets/Mexico/Tickets/Movies/MiniosYMonstruos/Es/6a161aab819dfminions/resource.mp4
moana-live-action,Moana ,A,"MUSICAL, AVENTURA, FANTASÍA, ACCIÓN, FAMILIAR",116 min,Cartelera,HO00032507,https://tickets-static-content.cinepolis.com/pimcore/19403/assets/Mexico/Tickets/Movies/MoanaLiveAction/Es/720x1022_24/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19403/assets/Mexico/Tickets/Movies/MoanaLiveAction/Es/1440x900_57/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19403/assets/Mexico/Tickets/Movies/MoanaLiveAction/Es/6a232a218be25MOANA2026_W8_1366x770_1/resource.mp4
hasta-el-fin-del-mundo,Hasta El Fin Del Mundo ,B15,DRAMA,98 min,Cartelera,HO00032576,https://tickets-static-content.cinepolis.com/pimcore/19982/assets/Mexico/Tickets/Movies/HastaElFinDelMundo/Es/9_Poster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19982/assets/Mexico/Tickets/Movies/HastaElFinDelMundo/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19982/assets/Mexico/Tickets/Movies/HastaElFinDelMundo/Es/6a3d46e8768d7hastafinmundo/resource.mp4
la-invitacion,La Invitación,B15,COMEDIA,107 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19230/assets/Mexico/Tickets/Movies/LaInvitacion/Es/sello_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19230/assets/Mexico/Tickets/Movies/LaInvitacion/Es/LI_DESKTOP_Header_flujo_de_compra_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19230/assets/Mexico/Tickets/Movies/LaInvitacion/Es/6a19e49b7727dinvitacion/resource.mp4
spider-man-un-nuevo-dia,Spider-Man: Un Nuevo Día,B,"AVENTURA, ACCIÓN",145 min,Cartelera,HO00032435,https://tickets-static-content.cinepolis.com/pimcore/19229/assets/Mexico/Tickets/Movies/SpiderManUnNuevoDia/Es/SMBND_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19229/assets/Mexico/Tickets/Movies/SpiderManUnNuevoDia/Es/SMBND_1440x900_5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19229/assets/Mexico/Tickets/Movies/SpiderManUnNuevoDia/Es/6a19e4cd4cc01spidermanbrandnewday/resource.mp4
menu-tematico-spider-man-un-nuevo-dia,Menú Temático Spider-Man: Un Nuevo Día,TBC,"AVENTURA, ACCIÓN",150 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20190/assets/Mexico/Tickets/Movies/MenuTematicoSpiderManUnNuevoDia/Es/Poster_WEB_Desktop_720x1022px_Spiderman_copia_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20190/assets/Mexico/Tickets/Movies/MenuTematicoSpiderManUnNuevoDia/Es/HeaderMovieDetails_WEB_Desktop_1440x900px_Spiderman_copia_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20190/assets/Mexico/Tickets/Movies/MenuTematicoSpiderManUnNuevoDia/Es/6a4589a1e284aspidermanbrandnewday/resource.mp4
impacto-mortal,Impacto Mortal,B,SUSPENSO,107 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19935/assets/Mexico/Tickets/Movies/ImpactoMortal/Es/Poster_720x1022_DW_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19935/assets/Mexico/Tickets/Movies/ImpactoMortal/Es/Header_Movie_Details_1440x900_DW_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19935/assets/Mexico/Tickets/Movies/ImpactoMortal/Es/6a3af82a14495impactomortal/resource.mp4
evil-dead-en-llamas,Evil Dead: En Llamas,C,TERROR,110 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19297/assets/Mexico/Tickets/Movies/EvilDeadEnLlamas/Es/EVILDEAD_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19297/assets/Mexico/Tickets/Movies/EvilDeadEnLlamas/Es/EVILDEAD_1440x900_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19297/assets/Mexico/Tickets/Movies/EvilDeadEnLlamas/Es/6a205679ed534l1_evildeadburn_itrb_sever_red_premium_w8_lasmx_sub_h264_770p_1/resource.mp4
backrooms-sin-salida-version-extendida,Backrooms: Sin Salida Versión Extendida,B15,TERROR,127 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20519/assets/Mexico/Tickets/Movies/BackroomsSinSalidaVersionExtendida/Es/720x1022_21/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20519/assets/Mexico/Tickets/Movies/BackroomsSinSalidaVersionExtendida/Es/Header_movie_details_1440x900__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20519/assets/Mexico/Tickets/Movies/BackroomsSinSalidaVersionExtendida/Es/6a5661ab454d2backrooms/resource.mp4
obsesion,Obsesión,C,"THRILLER, HORROR",109 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/17688/assets/Mexico/Tickets/Movies/Obesion/Es/20_POSTER_720X1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/17688/assets/Mexico/Tickets/Movies/Obesion/Es/4_HEADER_MOVIE_DETAILS_1440X900_9/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/17688/assets/Mexico/Tickets/Movies/Obesion/Es/69dec5c3e11c6obsesion_3/resource.mp4
paw-patrol-la-dino-pelicula,PAW Patrol: La Dino Película,AA,"ANIMACIÓN, FAMILIAR",89 min,Cartelera,HO00032496,https://tickets-static-content.cinepolis.com/pimcore/19797/assets/Mexico/Tickets/Movies/PAWPatrolLaDinoPelicula/Es/PP3_Desktop_Poster_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19797/assets/Mexico/Tickets/Movies/PAWPatrolLaDinoPelicula/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19797/assets/Mexico/Tickets/Movies/PAWPatrolLaDinoPelicula/Es/6a343cd3ed50fpaw_patrol/resource.mp4
el-dia-de-la-revelacion,El Día De La Revelación,B,CIENCIA FICCIÓN,145 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18348/assets/Mexico/Tickets/Movies/ElDiaDeLaRevelacion/Es/20_Po_ster_720x1022px_1__11/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18348/assets/Mexico/Tickets/Movies/ElDiaDeLaRevelacion/Es/15_Header_Movie_details_1440x900px_1__11/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18348/assets/Mexico/Tickets/Movies/ElDiaDeLaRevelacion/Es/69fb5eed7a9eediarevelacion_2/resource.mp4
supergirl,Supergirl,B,"AVENTURA, ACCIÓN",108 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/18011/assets/Mexico/Tickets/Movies/Supergirl/Es/P_720X1022_8/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18011/assets/Mexico/Tickets/Movies/Supergirl/Es/HMD_1440X900_8/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18011/assets/Mexico/Tickets/Movies/Supergirl/Es/69e7f1dca76f3supergirl_1/resource.mp4
scary-movie,Scary Movie: Terroríficamente Incorrecta,C,"COMEDIA, HORROR, SLASHER",96 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/17742/assets/Mexico/Tickets/Movies/ScaryMovie/Es/720x1022_23/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/17742/assets/Mexico/Tickets/Movies/ScaryMovie/Es/1440x900_57/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/17742/assets/Mexico/Tickets/Movies/ScaryMovie/Es/69dfed342349ascarymovie6_3/resource.mp4
resurrection,Resurrection ,B15,DRAMA,159 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19942/assets/Mexico/Tickets/Movies/Resurrection/Es/RESURRECCION_Poster_720x1022px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19942/assets/Mexico/Tickets/Movies/Resurrection/Es/RESURRECCION_Header_movie_details_1440x900px_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19942/assets/Mexico/Tickets/Movies/Resurrection/Es/6a3b0ca34f8efresurreccion/resource.mp4
shifting-baselines-horizontes-perdidos,Shifting Baselines: Horizontes Perdidos,B,DOCUMENTAL,101 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20155/assets/Mexico/Tickets/Movies/ShiftingBaselinesHorizontesPerdidos/Es/Shifting_Baselines_720_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20155/assets/Mexico/Tickets/Movies/ShiftingBaselinesHorizontesPerdidos/Es/Shifting_Baselines_1440_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20155/assets/Mexico/Tickets/Movies/ShiftingBaselinesHorizontesPerdidos/Es/6a4416f929914SHIFTINGBASELINES_W8_1366x770/resource.mp4
los-demonios-del-amanecer,Los Demonios Del Amanecer,C,DRAMA,136 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/20561/assets/Mexico/Tickets/Movies/LosDemoniosDelAmanecer/Es/20_Poster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20561/assets/Mexico/Tickets/Movies/LosDemoniosDelAmanecer/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20561/assets/Mexico/Tickets/Movies/LosDemoniosDelAmanecer/Es/6a57ccc03f577losdemoniosamanecer/resource.mp4
sia-nostalgic-for-the-present-en-cines,SIA: Nostalgic For The Present En Cines,TBC,CONCIERTO,75 min,Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/19713/assets/Mexico/Tickets/Movies/SIANostalgicForThePresentEnCines/Es/720x1022_2/resource.jpeg,https://tickets-static-content.cinepolis.com/pimcore/19713/assets/Mexico/Tickets/Movies/SIANostalgicForThePresentEnCines/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19713/assets/Mexico/Tickets/Movies/SIANostalgicForThePresentEnCines/Es/6a5e8badb849bsia/resource.mp4
