movie_id,nombre,clasificacion,genero,duracion_min,sinopsis,categoria,vista_id,poster_url,banner_url,trailer_url,director,actores
spider-man-un-nuevo-dia,Spider-Man: Un Nuevo Día,B,"AVENTURA, ACCIÓN",145 min,"Comienza un nuevo día para Peter Parker. Luchar contra el crimen a tiempo completo como Spider-Man en un mundo que no lo recuerda, sumado a la presión de ver a sus viejos amigos seguir adelante sin él, provoca un cambio en Peter que quizás no pueda controlar. Pero esa transformación podría ser lo único que detenga una nueva y aterradora amenaza para la ciudad y sus seres queridos: un poderoso villano que ni siquiera pueden ver. El mundo puede haber olvidado a Peter Parker, pero él no los ha olvidado a ellos.",Cartelera,HO00032435,https://tickets-static-content.cinepolis.com/pimcore/19229/assets/Mexico/Tickets/Movies/SpiderManUnNuevoDia/Es/SMBND_720x1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19229/assets/Mexico/Tickets/Movies/SpiderManUnNuevoDia/Es/SMBND_1440x900_5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19229/assets/Mexico/Tickets/Movies/SpiderManUnNuevoDia/Es/6a19e4cd4cc01spidermanbrandnewday/resource.mp4,,[]
la-odisea,La Odisea,B,"ACCIÓN, ÉPICA",172 min,"El legendario Odiseo enfrenta peligros épicos en su viaje de regreso a casa tras la Guerra de Troya. Se topa con criaturas míticas y dioses caprichosos, superando obstáculos increíbles antes de reunirse con su amada Penélope.",Cartelera,HO00032360,https://tickets-static-content.cinepolis.com/pimcore/18924/assets/Mexico/Tickets/Movies/LaOdisea/Es/9_P_ster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18924/assets/Mexico/Tickets/Movies/LaOdisea/Es/5_Header_movie_details_1440x900px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18924/assets/Mexico/Tickets/Movies/LaOdisea/Es/6a0df392ebc25laodisea/resource.mp4,,[]
la-muerte-de-robin-hood,La Muerte De Robin Hood,B15,"DRAMA, SUSPENSO",122 min,"Robin Hood (Hugh Jackman) intenta lidiar con sus demonios tras una larga vida de crímenes y asesinatos. Cuando resulta herido de gravedad en una sangrienta batalla, es enviado a un misterioso lugar para curar sus heridas. Allí conocerá a una mujer que le ofrecerá una última oportunidad de redención.",Cartelera,HO00032679,https://tickets-static-content.cinepolis.com/pimcore/20538/assets/Mexico/Tickets/Movies/LaMuerteDeRobinHood/Es/720x1022_21/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20538/assets/Mexico/Tickets/Movies/LaMuerteDeRobinHood/Es/Header_movie_details_1440x900__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20538/assets/Mexico/Tickets/Movies/LaMuerteDeRobinHood/Es/6a57c86a70419lamuerterobinhood/resource.mp4,,[]
el-dia-d-bajo-presion,El Día D Bajo Presión,B,"DRAMA, THRILLER",100 min,"Aunque los meteorólogos alemanes esperaban mal clima, los Aliados aprovecharon un inesperado período de cielo despejado para el Desembarco de Normandía.",Cartelera,HO00032347,https://tickets-static-content.cinepolis.com/pimcore/19268/assets/Mexico/Tickets/Movies/ElDiaDBajoPresion/Es/9_P_ster_720x1022px_2__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19268/assets/Mexico/Tickets/Movies/ElDiaDBajoPresion/Es/4_Header_movie_details_1440x900px_3__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19268/assets/Mexico/Tickets/Movies/ElDiaDBajoPresion/Es/6a1f21891a39cdiadbajopresion/resource.mp4,,[]
toy-story-5,Toy Story 5,AA,"ANIMACIÓN, AVENTURA, FAMILIAR",102 min,"Los juguetes están de regreso y esta vez, el propósito de jugar de Buzz Lightyear, Woody, Jessie y el resto del grupo se ve amenazado cuando se enfrentan a Lilypad, una nueva tableta que llega con sus propias ideas disruptivas sobre lo que es mejor para su niña, Bonnie. ¿Volverá el juego a ser como antes?",Cartelera,HO00032206,https://tickets-static-content.cinepolis.com/pimcore/18877/assets/Mexico/Tickets/Movies/ToyStory5/Es/19_Poster_720x1022px__5/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18877/assets/Mexico/Tickets/Movies/ToyStory5/Es/14_Header_Movie_details_1440x900px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/18877/assets/Mexico/Tickets/Movies/ToyStory5/Es/6a0cc6a4610caTOYSTORY5_W8_1366x770/resource.mp4,,[]
minions-y-monstruos,Minions & Monstruos,A,"COMEDIA, ANIMACIÓN",90 min,"Se trata de un relato disparatado, absurdo y sorprendentemente “verídico” sobre la forma en que los Minions irrumpieron en Hollywood, alcanzaron la fama como supercelebridades, lo arruinaron todo a su paso, liberaron criaturas monstruosas por todo el planeta y, finalmente, tuvieron que aliarse para intentar arreglar el desastre monumental que ellos mismos provocaron.",Cartelera,HO00032389,https://tickets-static-content.cinepolis.com/pimcore/19133/assets/Mexico/Tickets/Movies/MiniosYMonstruos/Es/9_P_ster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19133/assets/Mexico/Tickets/Movies/MiniosYMonstruos/Es/4_Header_movie_details_1440x900px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19133/assets/Mexico/Tickets/Movies/MiniosYMonstruos/Es/6a161aab819dfminions/resource.mp4,,[]
tu-corazon-sera-destrozado,Tu Corazón Será Destrozado,B,"ROMANCE, DRAMA",134 min,"Una nueva estudiante hace un trato arriesgado con el bully más temido: él fingirá ser su novio a cambio de protección si ella obedece sus órdenes. Cuando su relación falsa se vuelve real, fuerzas externas amenazan con separarlos.",Cartelera,HO00032693,https://tickets-static-content.cinepolis.com/pimcore/20916/assets/Mexico/Tickets/Movies/TuCorazonSeraDestrozado/Es/P_ster_720x1022px_copia_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20916/assets/Mexico/Tickets/Movies/TuCorazonSeraDestrozado/Es/TCSD_HeaderMovieDetails_1440x900_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20916/assets/Mexico/Tickets/Movies/TuCorazonSeraDestrozado/Es/6a61039f487f2tucorazonseradestrozado/resource.mp4,,[]
hasta-el-fin-del-mundo,Hasta El Fin Del Mundo ,B15,DRAMA,98 min,"La película sigue a Manuel (Ochmann), un hombre con una vida aparentemente resuelta, cuyo destino cambia tras una llamada inesperada que lo lleva a reencontrarse con Esmeralda (Derbez), la mujer que marcó su vida años atrás. Lo que comienza como un viaje al pasado se transforma en una confrontación con las decisiones, los sueños y los amores que definen quiénes somos realmente.",Cartelera,HO00032576,https://tickets-static-content.cinepolis.com/pimcore/19982/assets/Mexico/Tickets/Movies/HastaElFinDelMundo/Es/9_Poster_720x1022px__2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19982/assets/Mexico/Tickets/Movies/HastaElFinDelMundo/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/19982/assets/Mexico/Tickets/Movies/HastaElFinDelMundo/Es/6a3d46e8768d7hastafinmundo/resource.mp4,,[]
insaciable,Insaciable,C,"HORROR, BODY HORROR",112 min,"Hana, una estudiante de medicina, es aterrorizada por un fantasma hambriento después de participar en una oscura moda para bajar de peso: comer cenizas humanas.​",Cartelera,HO00032690,https://tickets-static-content.cinepolis.com/pimcore/20319/assets/Mexico/Tickets/Movies/Insaciable/Es/poster_720x1022_s_2_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20319/assets/Mexico/Tickets/Movies/Insaciable/Es/header_movie_details_1440x900_s_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/20319/assets/Mexico/Tickets/Movies/Insaciable/Es/6a4d6b659dc1ainsaciable/resource.mp4,,[]
verdad-y-traicion,Verdad Y Traición,B,DRAMA,121 min,"Cuando la lealtad a la patria se convierte en lealtad a una mentira, un adolescente lo arriesga todo para exponer la verdad. Con la Gestapo a la vuelta de la esquina, debe decidir qué significa realmente ser un buen alemán.",Cartelera,,https://tickets-static-content.cinepolis.com/pimcore/21233/assets/Mexico/Tickets/Movies/VerdadYTraicion/Es/POSTER_720X1022_2/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/21233/assets/Mexico/Tickets/Movies/VerdadYTraicion/Es/1440x900_55/resource.jpg,https://tickets-static-content.cinepolis.com/pimcore/21233/assets/Mexico/Tickets/Movies/VerdadYTraicion/Es/6a6a87cf65d5cverdadtraicion/resource.mp4,,[]
